Listing Title (Required),Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB Id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL
Ontario Folk Dance Association,Ontario Folk Dance Association,sofsof@rogers.com,,,,,,,,,,,,,,,,,416.221.6280,,,,,,,active,gold,National dance -> Israeli,,,,,,89,,,,,,,,,,,,,,,,
The Ukrainian Academy of Dance,The Ukrainian Academy of Dance,info@ukrainianacademyofdance.com,http://www.ukrainianacademyofdance.com/?page_id=9,145 Evans Ave,#206,,,,,,,,,,,M8Z 5X8,43.618395,-79.509488,(647) 348-7947,,,,,,,active,gold,National dance -> Ukrainian,Kids & Teens,Hip Hop,Jazz,,,90,,,,,,,,,,,,,,,,
REAson d’etre dance,REAson d’etre dance,,http://www.reasondetre.com,"805 Dovercourt Rd, Toronto, ON ",3-Rd Floor,,,,,,,,,,,M6H 2X4,43.662778,-79.429509,,,,,,,,active,gold,Ecstatic Dance,Jam,,,,,91,,,,,,,,,,,,,,,,
Academy Of Ballet & Jazz,Academy Of Ballet & Jazz,canadianballettheatre@rogers.com,http://www.academyofballetandjazz.ca,34 Doncaster Ave ,,,,,,,,,,,,L3T 4S1,43.803752,-79.417865,(905) 886-0455,(905) 764-7365,,,,,,active,gold,Adults,Kids & Teens,Ballet,Acro,Modern,,92,,,,,,,,,,,,,,,,
Gotta Dance,Gotta Dance,Info@gottadance.ca,http://www.gottadance.ca/,3581B Dundas St W,,,,,,,,,,,,M6S 2S8,43.665573,-79.492284,(647) 846-8067,,,,,,,active,gold,Acro,Ballet,Birthday party,Break dance,Hip Hop,,93,,,,,,,,,,,,,,,,
Zeibekiko Toronto,Zeibekiko Toronto,zeibekikotoronto@gmail.com,http://www.zeibekikotoronto.com/,"62 Byng Ave, Toronto, ON",,,,,,,,,,,,M2N 7K3,43.777248,-79.412255,(647) 998-4732,,,,,,,active,gold,National dance -> Greek,,,,,,94,,,,,,,,,,,,,,,,
Definitely Dance,Definitely Dance,definitely-dance@rogers.com,http://www.definitelydance.ca/,"2885 Jane St, North York, ON",Unit 23 ,,,,,,,,,,,M3N 2J6,43.752440,-79.516389,(416) 389-7024,,,,,,,active,diamond,Ballet,Ballroom,Competition,Early dance,Jazz,Listing,95,,,,,,,,,,,,,,,,
The Dance Boutique,The Dance Boutique,sbad.etob@seanboutilier.com,http://seanboutilier.com/,"11 Plastics Ave, Etobicoke, ON",,,,,,,,,,,,M8Z 4B6,43.621882,-79.508663,(647) 846-8495,,,,,,,active,gold,Adults,Ballet,Competition,Jazz,Tap,,96,,,,,,,,,,,,,,,,
Annex Dance Academy Inc,Annex Dance Academy Inc,toronto@annexdanceacademy.com,http://www.annexdanceacademy.com/,"942 Bathurst St, Toronto, ON",,,,,,,,,,,,M5R 3G5,43.669182,-79.413045,(416) 533-2623,,,,,,,active,gold,Acro,Ballet,Early dance,Hip Hop,Jazz,,97,,,,,,,,,,,,,,,,
Diva Diverse,Diva Diverse,info@divadiverse.com,http://www.divadiverse.com/,,,,,,,,,,,,,,,,(416) 477-8082,,,"The Diva Diverse International Professional Dance Performers specialize in Bellydance, Bollywood, Brazilian Samba, Hawaiian, Latin/Salsa and much more! If you don\'t see a dance style you\'re looking for, contact us - we perform it ALL! With over 1000 originally designed costumes in our inventory, we can customize performances for any themed event!",,Professional Dance Performers,,active,gold,Performances,,,,,,98,,,,,,,,,,,,,,,,
Dance Life Studios,Andra Dance Studio,zilvis@andradancestudio.com,http://www.dancelifestudios.com,"4590 Dufferin St, North York, ON",,,,,,,,,,,,M3H 5S5,43.770340,-79.467841,(416) 667-0320,,,,,,,active,gold,Adults,Ballet,Ballroom,Competition,Hip Hop,,99,,,,,,,,,,,,,,,,
Prima Dance School,Prima Dance School,,http://www.primadanceschool.com/index.html,"2A-2105 Midland Ave, Scarborough, ON",,,,,,,,,,,,M1P 3E3,43.771087,-79.271757,(416) 642-4899,,,,,,,active,gold,Bollywood,Adults,Kids & Teens,,,,100,,,,,,,,,,,,,,,,
Russian Classical Ballet Academy,Russian Classical Ballet Academy,rcbatoronto@hotmail.com,http://www.balletrus.com/,"110 Sheppard Ave E, Toronto, ON",#103,,,,,,,,,,,M2N 6N5,43.763394,-79.404525,(647) 725-5400,,,,,,,active,gold,Adults,Acro,Ballet,Hip Hop,Contemporary,,101,,,,,,,,,,,,,,,,
Sophisticated Ballroom & Latin Dance Instruction,Sophisticated Ballroom & Latin Dance Instruction,stephen.murgatroyd019@sympatico.ca,http://www.sophisticatedballroomdance.com/,"100 Coe Hill Dr, Toronto, ON",,,,,,,,,,,,M6S 3E1,43.640876,-79.473391,(416) 767-7216,,,,,,,active,gold,Adults,Ballroom,Latin,Private lessons,,,102,,,,,,,,,,,,,,,,
Anna\'s Dance Centre,Anna\'s Dance Centre,,,"622 Bloor St W, Toronto, ON ",,,,,,,,,,,,M6G 1K7,43.664603,-79.414180,(416) 536-8700,,,,,,,active,gold,,,,,,,103,,,,,,,,,,,,,,,,
Toronto Dance Vibe,Toronto Dance Vibe,,http://dancevibes.com/new/,"179 Bartley Dr, North York, ON",,,,,,,,,,,,M4A 1E6,43.720900,-79.312098,(416) 385-9481,,,,,,,active,gold,Ballet,Acro,Tap,Hip Hop,Jazz,,104,,,,,,,,,,,,,,,,
The Dance Extension,The Dance Extension,,,"50 Paxman Rd, Etobicoke, ON M9C 1B7",,,,,,,,,,,,M9C 1B7,43.624242,-79.557214,(416) 626-1916,,,,,,,active,gold,Lyrical,,,,,,105,,,,,,,,,,,,,,,,
Chrys Stylz Entertainment,Chrys Stylz Entertainment,,,"555 Bloor St W, Toronto, ON ",,,,,,,,,,,,M5S 1Y6,43.665059,-79.410407,(647) 477-8574,,,,,,,active,gold,,,,,,,106,,,,,,,,,,,,,,,,
Hannan\'s Bellydance Studio,Hannan\'s Bellydance Studio,egyptiandanceacademy@gmail.com,http://www.discoverbellydance.com/,"211 Danforth Ave, Toronto, ON ",,,,,,,,,,,,M4K 1N2,43.676446,-79.355801,(416) 462-3498,(416) 946-1258,,,,,,active,gold,Adults,Belly dance,National dance -> Folk,Private lessons,Rentals,,107,,,,,,,,,,,,,,,,
Studio Nine,Studio Nine,info@danceatstudio9.com,http://www.danceatstudio9.com/,"4385 Sheppard Ave E, Scarborough, ON ",,,,,,,,,,,,M1S 1T9,43.787045,-79.270051,(416) 291-6692,,,,,,,active,gold,Acro,Adults,Ballet,Belly dance,Break dance,,108,,,,,,,,,,,,,,,,
The Martha Hicks School Of Ballet Inc,The Martha Hicks School Of Ballet Inc,office@mhsb.ca,http://www.mhsb.ca/,"1660 Avenue Rd, North York, ON",2nd Floor,,,,,,,,,,,M5M 3Y1,43.726697,-79.417433,(416) 484-4731,,,,,,,active,gold,Acro,Ballet,Contemporary,Hip Hop,Jazz,,109,,,,,,,,,,,,,,,,
Dance Surge,Dance Surge,info@dancesurge.ca,http://www.dancesurge.ca/,"398 Steeles Ave W, Thornhill, ON",,,,,,,,,,,,L4J 6X3,43.795601,-79.434900,(905) 886-3515,,,,,,,active,gold,Acro,Ballet,Hip Hop,Tap,Jazz,,110,,,,,,,,,,,,,,,,
Esmeralda Enrique Spanish Dance Company,Esmeralda Enrique Spanish Dance Company,eesdc@flamencos.net,http://www.flamencos.net/,"401 Richmond St W, Toronto, ON ",,,,,,,,,,,,M5V 3A8,43.647884,-79.394823,(416) 595-5753,,,,,,,active,gold,Flamenco,Tango,National dance -> Spanish,,,,111,,,,,,,,,,,,,,,,
Dance Dance Dance,Dance Dance Dance,,http://dancedancedance.ca/," 1556 Danforth Ave, Toronto, ON ",,,,,,,,,,,,M4J 1N4,43.683460,-79.324092, (416) 461-3888,,,,,,,active,gold,Ballroom,Latin,Private lessons,Wedding dance lessons,,,112,,,,,,,,,,,,,,,,
Ballet Creole,Ballet Creole,info@balletcreole.org,http://www.balletcreole.org/,"101 Portland St, Etobicoke, ON ",,,,,,,,,,,,M8Y 1B1,43.619373,-79.498206,(416) 960-0350,,,,,,,active,gold,Performances,National dance -> Caribbean,National dance -> Afro,Contemporary,,,113,,,,,,,,,,,,,,,,
Pure Dance Crew,Pure Dance Crew,puredancecrew1@gmail.com,http://www.puredancecrew.com/,"242 Lesmill Rd, North York, ON ",,,,,,,,,,,,M3B 2T5,43.761851,-79.359445,(416) 446-6800,,,,,,,active,gold,Acro,Ballet,Competition,Hip Hop,Jazz,,114,,,,,,,,,,,,,,,,
Donita Ballet School,Donita Ballet School,,http://donitaballet.com/,"155 Hilda Ave, North York, ON ",,,,,,,,,,,,M2M 1V6,43.793477,-79.426794,(416) 706-6191,,,,,,,active,gold,Adults,Ballet,Kids & Teens,,,,115,,,,,,,,,,,,,,,,
Luv 2 Bellydance,Luv 2 Bellydance,asteria@luv2bellydance.com,http://luv2bellydance.com/,"54-3021 Markham Rd, Scarborough, ON ",,,,,,,,,,,,M1X 1L8,43.829094,-79.248719,(647) 866-2542,,,,,,,active,gold,Belly dance,Performances,,,,,116,,,,,,,,,,,,,,,,
The Underground Dance Centre,The Underground Dance Centre,hello@theundergrounddance.com,http://www.theundergrounddance.com,"220 Richmond St W, Toronto, ON ",,,,,,,,,,,,M5V 1V6,43.649824,-79.388014,(647) 349-9477,,,,,,,active,gold,Club dance,Broadway,Hip Hop,Jazz,Heels,,117,,,,,,,,,,,,,,,,
Beaches Dance & Music Studio,Beaches Dance & Music Studio,beachesdancemusic@gmail.com,http://www.beachesdanceandmusic.com/,"1A Hannaford St, Toronto, ON ",,,,,,,,,,,,M4E 3G6,43.680535,-79.291264,(416) 699-5485,,,,,,,active,gold,Ballet,,,,,,118,,,,,,,,,,,,,,,,
Arthur Murray Dance Centers,Arthur Murray Dance Centers,info@arthurmurrayetobicoke.com,http://arthurmurrayetobicoke.com/,"3054 Bloor St W, Etobicoke, ON ",,,,,,,,,,,,M8X 1C4,43.647132,-79.513091,(416) 239-8149,,,,,,,active,gold,Bachata,Foxtrot,Hustle,Rumba,Swing,,119,,,,,,,,,,,,,,,,
Arte Flamenco,Arte Flamenco,elenalacomadre@rogers.com,http://www.arteflamenco.com/,"979 Bloor St W, Toronto, ON ",,,,,,,,,,,,M4C 1H1,43.689528,-79.391616,(416) 920-3774,,,,,flamenco toronto || flamenco,,active,gold,Flamenco,,,,,,120,,,,,,,,,,,,,,,,
Alterna Tango BDX Studios,Alterna Tango BDX Studios,alternaTANGO@gmail.com,http://alternatango.ca/,"819 Yonge St, Toronto, ON ",,,,,,,,,,,,M4W 2G9,43.672606,-79.387482,(416) 525-8227,,,,,,,active,gold,Tango,,,,,,121,,,,,,,,,,,,,,,,
Academy Ballroom,Academy Ballroom,,,"2140 Dundas St W, Toronto, ON ",,,,,,,,,,,,M6R 1X2,43.652920,-79.449558,(416) 531-8921,,,,,,,active,gold,Ballroom,Latin,,,,,122,,,,,,,,,,,,,,,,
Artistic Edge Dance Company Inc,Artistic Edge Dance Company Inc,INFO@ARTISTICEDGEDANCECO.COM,http://artisticedgedanceco.com/,"20 Drummond St, Etobicoke, ON ",,,,,,,,,,,,M8V 1Y8,43.612515,-79.499948,(416) 253-5050,,,,,,,active,gold,Acro,Ballet,Early dance,Hip Hop,Kids & Teens,,123,,,,,,,,,,,,,,,,
All That Dance Studios Inc,All That Dance Studios Inc,info@allthatdance.ca,http://www.allthatdance.ca/,"630 Magnetic Dr, North York, ON M3J 2C4",,,,,,,,,,,,M3J 2C4,43.784185,-79.476194,(416) 663-1212,,,,,,,active,gold,Competition,Hip Hop,Jazz,Tap,Kids & Teens,Listing,124,,,,,,,,,,,,,,,,
Alyona Dance Studio,Alyona Dance Studio,,http://www1.alyonadancestudio.com/,"2215 Queen St. East Toronto, ON",,,,,,,,,,,,  M4E 1E8,43.670761,-79.295926,(416) 699-8042,,,,,,,active,gold,,,,,,,125,,,,,,,,,,,,,,,,
Artists\' Play,Artists\' Play,,http://www.artistsplay.com/,"401 Logan Ave Toronto, ON",#201,,,,,,,,,,,M4M 2P2,43.664344,-79.343382,(416) 309-7529,,,,,,,active,gold,Adults,Ballet,Parties,Tap,Jazz,,126,,,,,,,,,,,,,,,,
Art Of Dance Center,Art Of Dance Center,info@artofdancecenter.com,http://artofdancecenter.com/,"1 Nelson St. West, Brampton, ON", suite 11B ,,,,,,,,,,,ON L4L 4V9,43.770010,-79.550861,(905) 595-0951,,,,,,,active,gold,Ballroom,Latin,Wedding dance lessons,,,,127,,,,,,,,,,,,,,,,
Ballet Jorgen,Ballet Jorgen,,http://www.balletjorgen.ca/,"160 Kendal Ave, Toronto, ON ",#126,,,,,,,,,,,M5R 1M3,43.675945,-79.410488,(416) 961-4725,,,,,professional ballet,,active,gold,Ballet,Performances,Professional dance,,,,128,,,,,,,,,,,,,,,,
Ballet Espressivo,Ballet Espressivo,,http://balletespressivo.com/,"51 Kendal Ave, Toronto, ON ",#228,,,,,,,,,,,M5R 1L8,43.671909,-79.408183,(647) 294-0784,,,,,,,active,gold,Adults,Ballet,,,,,129,,,,,,,,,,,,,,,,
Body Language Academy Of Dance,Body Language Academy Of Dance,,http://www.bodylanguageacademy.com/,"272 Jane St, Toronto, ON ",,,,,,,,,,,,M6S 3Z2,43.655772,-79.487273,(416) 763-1100,,,,,,,active,gold,Acro,Tap,Jazz,Ballet,Kids & Teens,,130,,,,,,,,,,,,,,,,
Cornerstone Studio,Cornerstone Studio,info@cornerstonestudio.ca,http://www.cornerstonestudio.ca/,"1519 Gerrard St E, Toronto, ON ",,,,,,,,,,,,M4L 2A4,43.672854,-79.319401,(416) 519-0890,,,,,,,active,gold,Acro,Ballet,Break dance,Contemporary,Early dance,,131,,,,,,,,,,,,,,,,
Creswell Dance Academy,Creswell Dance Academy,administration@creswelldance.com,http://creswelldance.com/,"2215 Queen St E, Toronto, ON ",,,,,,,,,,,,M4E 1E8,43.670761,-79.295926,(416) 686-0246,,,,,,,active,gold,Ballet,Dance Camps,Break dance,Contemporary,Competition,,132,,,,,,,,,,,,,,,,
Charb Arts,Charb Arts,dance@charbarts.com,http://www.charbarts.com/,"2238 Dundas St W, Toronto, ON",#111,,,,,,,,,,,M6R 3A9,43.654372,-79.451574,(416) 551-6461,,,,,,,active,gold,Ballet,Birthday party,Dance Camps,Early dance,Kids & Teens,,133,,,,,,,,,,,,,,,,
Chatsworth Studios Ltd,Chatsworth Studios Ltd,,,"74 Hazelton Ave, Toronto, ON ",,,,,,,,,,,,M5R 2E2,43.673070,-79.394392,(416) 968-0995,,,,,,,active,gold,,,,,,,134,,,,,,,,,,,,,,,,
Celtic Dance Centre,Celtic Dance Centre,,http://www.celticdancecentre.ca/,"836 Danforth Ave, Toronto, ON ",,,,,,,,,,,,M4J 1L6,43.679913,-79.340885,(416) 463-3319,,,,,,,active,gold,Tap,,,,,,135,,,,,,,,,,,,,,,,
Canadian Alliance Of Dance Artists,Canadian Alliance Of Dance Artists,office@cada-on.ca,http://cadaontario.camp8.org/,"215 Spadina Ave, Toronto, ON ",,,,,,,,,,,,M5T 2C7,43.650753,-79.396611,(416) 657-2276,,,,,,,active,gold,Professional dance,,,,,,136,,,,,,,,,,,,,,,,
Conservatory Of Dance & Music,Conservatory Of Dance & Music,cdmdance@me.com,,"5915 Leslie St, North York, ON ",,,,,,,,,,,,M2H 1J8,43.798030,-79.369809,(416) 497-1793,,,,,,,active,gold,Acro,Adults,Ballet,Early dance,Hip Hop,,137,,,,,,,,,,,,,,,,
Danceology,Danceology,info@danceology.org,http://danceology.org/,"200 Princes’ Blvd Toronto, ON",,,,,,,,,,,,M6K 3C3,43.632260,-79.421545,(416) 588-0111,,,,,,,active,gold,Ballroom,Latin,Rentals,,,,138,,,,,,,,,,,,,,,,
Dance To Live Studio,Dance To Live Studio,info@dancetolivestudio.com,http://www.dancetolivestudio.com/index.html,"1360 Bathurst St, Toronto, ON ",,,,,,,,,,,,M5R 3H7,43.679871,-79.417151, (416) 518-6178,,,,,,,active,gold,Salsa,,,,,,139,,,,,,,,,,,,,,,,
Doreen Hayes School Of Dancing,Doreen Hayes School Of Dancing,doreenhayes@gmail.com,http://www.doreenhayes.com/,"2453A Bloor St W, Toronto, ON ",,,,,,,,,,,,M6S 1P7,43.649122,-79.484519,(416) 767-3062,,,,,,,active,gold,Ballet,Tap,Jazz,Hip Hop,Musical,,140,,,,,,,,,,,,,,,,
Dance Classes Toronto,Dance Classes Toronto,,http://www.dance-classes.ca/,"38 Elm St, Toronto, ON ",,,,,,,,,,,,M5G 2K5,43.657599,-79.383640,(416) 598-4077,,,,,,,active,gold,Ballroom,Latin,Wedding dance lessons,,,,141,,,,,,,,,,,,,,,,
ELEVATION DANCENTRE,ELEVATION DANCENTRE,info@elevationdancentre.com,http://elevationdancentre.com/,"979 Bloor Street West Toronto, Ontario ",,,,,,,,,,,,M6H 1L7,43.661168,-79.429327,(416) 534-5633,,,,,,,active,gold,Acro,Pointe,Lyrical,Early dance,Musical,,142,,,,,,,,,,,,,,,,
Elite Dance Studio,Elite Dance Studio,,http://www.elitedancestudio.com/,"30 Kern Rd, North York, ON ",,,,,,,,,,,,M3B 1T1,43.749833,-79.350050,(416) 385-8866,,,,,,,active,gold,Ballroom,Latin,,,,,143,,,,,,,,,,,,,,,,
For The Love Of It School Of Dance,For The Love Of It School Of Dance,fortheloveofit@bellnet.ca,http://www.fortheloveofit.net/,"65 Glen Manor Dr, Toronto, ON ",,,,,,,,,,,,M4E 3V3,43.671115,-79.292096,(416) 691-0253,,,,,,,active,gold,Ballet,Jazz,Acro,Musical,Competition,,144,,,,,,,,,,,,,,,,
Favourite Dance Studio,Favourite Dance Studio,yulia@favoritedancestudio.com,http://www.favoritedancestudio.com/,"291A Jane St, Toronto, ON ",,,,,,,,,,,,M6S 3Z3,43.656363,-79.486954,(647) 501-0733,,,,,,,active,gold,Ballroom,Latin,,,,,145,,,,,,,,,,,,,,,,
Franco Dance Studios,Franco Dance Studios,info@francodance.com,http://www.francodance.com/,"1222A Bloor St W, Toronto, ON ",,,,,,,,,,,,M6H 1N3,43.659212,-79.439126,(416) 538-7777,,,,,,,active,gold,,,,,,,146,,,,,,,,,,,,,,,,
Front & Centre Dance Academy,Front & Centre Dance Academy,,http://www.frontandcentredance.com/,"1200 Castlefield Ave, York, ON ",,,,,,,,,,,,M6B 1G2,43.699923,-79.456765,(416) 916-3687,,,,,,,active,gold,Acro,Ballet,Adults,Birthday party,Early dance,,147,,,,,,,,,,,,,,,,
Groove School Of Dance,Groove School Of Dance,angela@grooveschoolofdance.com,http://grooveschoolofdance.com/,"491 Eglinton Ave W, Toronto, ON ",,,,,,,,,,,,M5N 1A8,43.703522,-79.412851,(416) 901-2914,,,,,,,active,gold,Parties,Dance Camps,Parents & Kids,Kids & Teens,Adults,,148,,,,,,,,,,,,,,,,
Hips Don\'t Lie Dance Co,Hips Don\'t Lie Dance Co,lyana@hipsdontlie.ca,,"700 Humberwood Blvd, ON ",,,,,,,,,,,,M3C 3N9,43.724765,-79.616485,(647) 444-1595,,,,,,,active,gold,Performances,,,,,,149,,,,,,,,,,,,,,,,
HooperSonic,HooperSonic,,http://www.hoopersonic.com/,"Toronto, ON",,,,,,,,,,,,,43.653226,-79.383184,(647) 274-4997,,,,,,,active,gold,Hoop dance,Performances,,,,,150,,,,,,,,,,,,,,,,
Innovative Rhythm Dance Studios,Innovative Rhythm Dance Studios,info@irdance.ca,http://www.irdance.ca/,"337 Evans Ave, Etobicoke, ON ",,,,,,,,,,,,M8Z 1K2,43.616579,-79.520555,(416) 239-1496,,,,,,,active,gold,Ballet,Tap,Lyrical,Jazz,Kids & Teens,,151,,,,,,,,,,,,,,,,
Interplay School of Dance,Interplay School of Dance,staff@interplay-dance.ca,http://www.interplay-dance.ca/,"250 Davisville Ave., Toronto, ON",5th floor ,,,,,,,,,,,,43.700693,-79.386404,(416) 972-1316,,,,,,,active,gold,Ballet,Early dance,Hip Hop,Jazz,Kids & Teens,,152,,,,,,,,,,,,,,,,
Salsa Babies,Salsa Babies,,http://salsababies.com/,"Toronto, ON",,,,,,,,,,,,,43.653226,-79.383184,(416) 258-0810,,,,,,,active,gold,Salsa,Parents & Kids,,,,Listing,153,,,,,,,,,,,,,,,,
John Howardson Dance Company,John Howardson Dance Company,info@johnhowardsondance.com,http://www.johnhowardsondance.com/,"6021 Yonge St, North York, ON ",,,,,,,,,,,,M2M 3W2,43.789675,-79.417347,855-543-2623,,,,,,,active,gold,Ballroom,Adults,Jive,Swing,Salsa,,154,,,,,,,,,,,,,,,,
Joy Booth School Of Dancing (JBSD),Joy Booth School Of Dancing (JBSD),info@joyboothschoolofdancing.com,http://joyboothschoolofdancing.com/,"70 Old Kingston Rd, Scarborough, ON",,,,,,,,,,,,M1E 3J5,43.776462,-79.180989,(905) 665-0700,,,,,,,active,gold,Acro,Ballet,Tap,Jazz,Creative,,155,,,,,,,,,,,,,,,,
Johnson Dance,Johnson Dance,,http://www.johnsonirishdance.com/,"95 Lavinia Ave, Toronto, ON ",,,,,,,,,,,,M6S 3H9,43.647633,-79.477978,(416) 763-4494,,,,,,,active,gold,Adults,Kids & Teens,National dance -> Irish,,,,156,,,,,,,,,,,,,,,,
Kids In Dance,Kids In Dance,corinne.moore@kidsindance.com,http://www.kidsindance.com/,"100 Penn Dr, North York, ON ",Unit #5,,,,,,,,,,,M9L 2A9,43.755222,-79.558133,(416) 748-2929,,,,,,,active,gold,Acro,Ballet,Early dance,Jazz,Kids & Teens,,157,,,,,,,,,,,,,,,,
Kaeja d\'dance,Kaeja d\'dance,,http://www.kaeja.org/,"734 Euclid Ave, Toronto, ON ",,,,,,,,,,,,M6G 2V2,43.666029,-79.415834,(416) 516-6030,,,,,,,active,gold,Creative,Contemporary,Adults,,,,158,,,,,,,,,,,,,,,,
La Danseuse,La Danseuse,,,"1735B Kipling Ave, Etobicoke, ON ",,,,,,,,,,,,M9R 2Y8,43.693314,-79.557283,(416) 235-1032,,,,,,,active,gold,,,,,,,159,,,,,,,,,,,,,,,,
LLS Dance School,LLS Dance School,,,"53-3021 Markham Rd, Scarborough, ON ",,,,,,,,,,,,M1X 1L8 ,43.829094,-79.248719,(416) 904-5571,,,,,,,active,gold,Bollywood,Hip Hop,,,,,160,,,,,,,,,,,,,,,,
Love To Dance On Bloor,Love To Dance On Bloor,,,"1222A Bloor St W, Toronto, ON ",,,,,,,,,,,,M6H 1N3,43.659212,-79.439126,(416) 486-4022,,,,,,,active,gold,,,,,,,161,,,,,,,,,,,,,,,,
Move Dance International,Move Dance International,info@movedanceconv.com,http://www.movedancecomp.com,"59 Portage Ave, North York, ON ",,,,,,,,,,,,M9N 3G8,43.710229,-79.520303,(647) 342-0548,,,,,,,active,gold,Tap,Jazz,Hip Hop,Contemporary,Adults,,162,,,,,,,,,,,,,,,,
OMO Dance Company,OMO Dance Company,contact@omodance.com,http://www.omodance.com/,"24 Second St, Etobicoke, ON ",,,,,,,,,,,,M8V 2X2,43.601331,-79.499226,(416) 516-5262,,,"OMO Dance Company was a dynamic multicultural company that engaged and excited its audiences through Artistic Director Debbie Wilson’s critically acclaimed choreography, and through collaborations with outstanding composers, artists and designers. OMO, founded in 1994, and ceased operations in August 2011. For current Debbie Wilson projects and production information - please visit http://debbiewilson.ca .",,,,active,gold,,,,,,,163,,,,,,,,,,,,,,,,
Ontario School Of Ballet & Related Arts,Ontario School Of Ballet & Related Arts,staff@ontarioschoolofballet.com,http://ontarioschoolofballet.com/,"1133 St Clair Ave W, Toronto, ON ",,,,,,,,,,,,M6E 1B1,43.678075,-79.441297,(416) 656-9568,,,,,,,active,gold,Acro,Ballet,Jazz,Tap,Hip Hop,,164,,,,,,,,,,,,,,,,
Ol-Si Dance Sport,Ol-Si Dance Sport,info@olsidancesport.com,http://olsidancesport.com/,"24 Martin Ross Ave, North York, ON",,,,,,,,,,,, M3J 2K8,43.774614,-79.470967,(416) 665-1387,,,,,,,active,gold,Adults,Ballroom,Private lessons,Wedding dance lessons,Latin,,165,,,,,,,,,,,,,,,,
Poise Dance,Poise Dance,info@poisedance.ca,http://www.poisedance.ca,"9 Banigan Dr, East York, ON ",,,,,,,,,,,,M4H 1G3,43.704410,-79.352744,(647) 546-9931,,,,,,,active,gold,Acro,Ballet,Kids & Teens,Hip Hop,,,166,,,,,,,,,,,,,,,,
Pia Bouman School For Ballet & Creative Movement,Pia Bouman School For Ballet & Creative Movement,info@piaboumanschool.org,http://www.piaboumanschool.org/,"6 Noble St, Toronto, ON M6K 2C6",,,,,,,,,,,,M6K 2C6,43.642553,-79.430284,(416) 533-3706,,,,,,,active,gold,Adults,Ballet,Contemporary,Early dance,Pointe,,167,,,,,,,,,,,,,,,,
Platunim Dance Centre,Platunim Dance Centre,info@platinumdancecentre.ca,http://www.platinumdancecentre.ca/,"30 Kern Avenue, Toronto, ON",,,,,,,,,,,,M3B 1T1,43.749833,-79.350050,(416) 828-6249,,,,,,,active,gold,Ballroom,Latin,,,,,168,,,,,,,,,,,,,,,,
Rhythm Dance Studio,Rhythm Dance Studio,info@rhythmdance.ca,http://www.rhythmdance.ca/,"6 Tippet Rd, North York, ON ",,,,,,,,,,,,M3H 2V2,43.733133,-79.447193,(416) 560-4445,,,,,,,active,gold,Ballet,Early dance,Jazz,Kids & Teens,Parents & Kids,,169,,,,,,,,,,,,,,,,
Roland and Romaine School of Dance,Roland and Romaine School of Dance,rrdance@rolandandromaine.com,http://www.rolandandromaine.com,"508B Lawrence Ave W, North York, ON ",,,,,,,,,,,,M6A 1A1,43.720244,-79.431293,(416) 782-1188,,,,,,,active,gold,Ballet,Jazz,Hip Hop,Acro,Early dance,,170,,,,,,,,,,,,,,,,
Rhythm & Motion Dance Studio,Rhythm & Motion Dance Studio,,http://www.rhythmandmotion.ca/,"3352 Dundas St W, Toronto, ON ",,,,,,,,,,,,M6P 2A4,43.665783,-79.481763,(416) 240-0808,,,,,,,active,gold,Ballroom,Latin,Bachata,Salsa,Swing,,171,,,,,,,,,,,,,,,,
Rita Ridaz Dance Academy,Rita Ridaz Dance Academy,,,"2238 Dundas St W, Toronto, ON ",,,,,,,,,,,,M6R 3A9,43.654372,-79.451574, (416) 464-0735,,,,,,,active,gold,,,,,,,172,,,,,,,,,,,,,,,,
Randolph School Of The Arts,Randolph School Of The Arts,,http://www.randolphacademy.com/,"736 Bathurst St, Toronto, ON ",,,,,,,,,,,,M5S 2R4,43.663583,-79.410840,(416) 924-2243,,,,,,,active,gold,Acro,Ballet,Contemporary,Early dance,Hip Hop,,173,,,,,,,,,,,,,,,,
Rock The Floor,Rock The Floor,,,"735 Renforth Dr, Etobicoke, ON ",,,,,,,,,,,,M9C 2N8,43.661195,-79.583858,(647) 436-8177,,,,,,,active,gold,,,,,,,174,,,,,,,,,,,,,,,,
Saugandhikam,Saugandhikam,,,"155 Marlee Ave, Toronto, ON ",,,,,,,,,,,,M6B 4B5,43.704485,-79.441682,(647) 621-4389,,,,,,,active,gold,,,,,,,175,,,,,,,,,,,,,,,,
